experimentPhase	trialnum	subject	task	noisePercent	ISIframes	lltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	responseOrder1	responseOrder2	answer0	response0	correct0	answer1	response1	correct1	answer2	response2	correct2	timingBlips
main	39	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	1	0	2	U 	U 	1	H 	U 	0	K 	U 	0	0
main	40	aholcombe 	 T1 	0	4	0	False 	False 	True 	both 	"(0, -1) "	1	0	2	S 	S 	1	S 	S 	1	K 	K 	1	0
main	41	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, 1) "	1	0	2	G 	G 	1	N 	N 	1	G 	G 	1	0
main	42	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, -1) "	1	2	0	H 	H 	1	N 	N 	1	Y 	Y 	1	0
main	43	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	2	0	1	G 	G 	1	N 	M 	0	M 	M 	1	0
main	44	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, -1) "	1	0	2	E 	E 	1	H 	N 	0	E 	E 	1	0
main	45	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, 1) "	0	1	2	A 	A 	1	E 	S 	0	T 	K 	0	0
main	46	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, -1) "	2	0	1	U 	U 	1	Y 	Y 	1	A 	A 	1	0
main	47	aholcombe 	 T1 	0	4	0	False 	False 	True 	both 	"(0, 1) "	1	2	0	Z 	Z 	1	U 	U 	1	G 	G 	1	0
main	48	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, -1) "	2	1	0	S 	S 	1	G 	G 	1	N 	N 	1	0
main	49	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, 1) "	0	1	2	H 	H 	1	M 	N 	0	N 	N 	1	0
main	50	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, -1) "	0	1	2	Y 	Y 	1	M 	M 	1	Y 	Y 	1	0
main	51	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	1	2	0	N 	N 	1	N 	N 	1	U 	Y 	0	0
main	52	aholcombe 	 T1 	0	3	0.9	False 	False 	True 	both 	"(0, -1) "	0	2	1	G 	G 	1	G 	G 	1	J 	G 	0	0
main	53	aholcombe 	 T1 	0	3	0.9	False 	False 	False 	both 	"(0, 1) "	1	2	0	F 	F 	1	N 	N 	1	E 	F 	0	0
main	54	aholcombe 	 T1 	0	3	0.9	False 	False 	False 	both 	"(0, -1) "	2	1	0	M 	M 	1	S 	S 	1	E 	E 	1	0
main	55	aholcombe 	 T1 	0	3	0.85	False 	False 	True 	both 	"(0, 1) "	2	0	1	T 	T 	1	S 	S 	1	E 	E 	1	0
main	56	aholcombe 	 T1 	0	3	0.85	False 	False 	True 	both 	"(0, 1) "	1	0	2	K 	J 	0	Y 	Y 	1	Z 	K 	0	0
main	57	aholcombe 	 T1 	0	3	0.9	False 	False 	True 	both 	"(0, -1) "	0	2	1	G 	G 	1	T 	I 	0	J 	H 	0	0
main	58	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, 1) "	0	2	1	J 	J 	1	G 	G 	1	U 	H 	0	0
main	59	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, -1) "	1	2	0	S 	S 	1	Z 	Z 	1	A 	S 	0	0
main	60	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	1	2	0	G 	G 	1	E 	G 	0	E 	G 	0	0
main	61	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, -1) "	0	2	1	F 	F 	1	S 	S 	1	Z 	Z 	1	0
main	62	aholcombe 	 T1 	0	4	0	False 	False 	False 	both 	"(0, 1) "	1	2	0	U 	S 	0	U 	S 	0	N 	N 	1	0
main	63	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	1	0	2	K 	K 	1	C 	C 	1	N 	Z 	0	0
main	64	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	0	2	1	G 	G 	1	G 	G 	1	F 	F 	1	0
main	65	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	1	0	2	C 	C 	1	G 	G 	1	J 	J 	1	0
main	66	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, -1) "	0	2	1	U 	U 	1	M 	M 	1	M 	M 	1	0
main	67	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, 1) "	0	1	2	M 	M 	1	Z 	Z 	1	S 	S 	1	0
main	68	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, 1) "	0	2	1	G 	G 	1	S 	S 	1	F 	F 	1	0
main	69	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	0	2	1	T 	T 	1	U 	U 	1	R 	R 	1	0
main	70	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, -1) "	1	2	0	F 	F 	1	E 	E 	1	S 	S 	1	0
main	71	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, -1) "	2	1	0	E 	E 	1	R 	R 	1	H 	H 	1	0
main	72	aholcombe 	 T1 	0	3	0.9	False 	False 	True 	both 	"(0, 1) "	2	0	1	A 	A 	1	Z 	Z 	1	C 	C 	1	0
main	73	aholcombe 	 T1 	0	3	0.9	False 	False 	False 	both 	"(0, -1) "	1	2	0	T 	F 	0	C 	E 	0	F 	F 	1	0
main	74	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, -1) "	1	0	2	H 	H 	1	C 	C 	1	U 	R 	0	0
main	75	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, 1) "	2	1	0	F 	F 	1	E 	E 	1	Z 	Z 	1	0
main	76	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, -1) "	1	0	2	R 	R 	1	A 	A 	1	M 	Z 	0	0
main	77	aholcombe 	 T1 	0	3	0.9	False 	False 	True 	both 	"(0, 1) "	2	1	0	Z 	C 	0	C 	E 	0	T 	T 	1	0
main	78	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, -1) "	0	1	2	T 	T 	1	S 	S 	1	U 	U 	1	0
