Agatha Christie
Aimee Dorr
Alex Lumsden
Alice Munro
Alvin Toffler
Amy Tan
Andrew Greeley
Ann Marie McDonald
Anne Rice
Arthur C. Clarke
Barbara Cartland
Brian Bigelow
C.S. Lewis
Caleb Lim
Carl Corter
Carla Grinton
Carol Berg
Carol Shields
Carter Anvari
Charles Condie
Christopher Barr
Christopher Moore
Dale Blyth
Dan Brown
Daniel Quinn
Danielle Steel
David Baldacci
David Perry
David Singer
Dean Koontz
Denise Daniels
Devon Chang
Diana Gabaldon
Diane Cuneo
Edward Cornell
Elizabeth George
Elliot Blass
Eric Amsel
Erica Jong
Frances Fincham
Frank Gresham
Frank Herbert
Frank Kiel
Frank Manis
Gary Beauchamp
George R.R. Martin
Geraldine Dawson
Harrison Boldt
Hilda Borko
Hugh Lytton
Isaac Asimov
Jackie Collins
James Clavell
James Michener
James Morgan
Janet Evanovich
Janice Taught
Jean M. Auel
Jeffery Eugenides
Jennifer Butterworth
Jennifer Marshal
John Condry
John Grisham
John Jakes
Judith Krantz
Judy Blume
Julia Connerty
K. Warner Schaie
Kate Grenville
Kate Pullinger
Katherine Carpenter
Kirby Kavanagh
Lauren Benjamin
Laurie King
Lena Johns
Lilly Jack
Louis L'Amour
Lynn Liben
M. Scott Peck
Maeve Binchy
Margaret Atwood
Margaret Laurence
Margarita Azmitia
Mark Elder
Mark Strauss
Martin Ford
Michael Moore
Mimi Hall
Miriam Sexton
Miriam Toews
Mordecai Richler
Morton Mendelson
Naomi Choy
Naomi Klein
Noam Chomsky
Oscar Barbary
Patricia Cornwell
Peter Rigg
Pierre Berton
Pricilla Levy
Reed Larson
Reuben Baron
Richard Passman
Robert Emery
Robert Fulghum
Robert Inness
Robert J. Sawyer
Robert Jordan
Robert Ludlum
Robert Siegler
Robertson Davies
Rohinton Mistry
Russell Banks
Ryan Gilbertson
Ryan Morris
S.E. Hinton
Samuel Paige
Scott Paris
Sheryl Green
Sidney Sheldon
Sophia Martin
Sophie Kinsella
Stephen Coonts
Stephen J. Gould
Stephen King
Stirling King
Sue Grafton
Susan Kormer
Suzanne Clarkson
Thomas Bever
Timothy Findley
Tom Clancy
Tracy Tomes
Ursula LeGuin
V.C. Andrews
W. Patrick Dickson
Wayne Johnston
Wayson Choy
