Author
V.C. Andrews
Isaac Asimov   
Margaret Atwood
Jean M. Auel
Russell Banks
David Baldacci
Carol Berg
Pierre Berton
Maeve Binchy
Judy Blume
Dan Brown
Barbara Cartland
Agatha Christie
Noam Chomsky
Wayson Choy
Tom Clancy
Arthur C. Clarke
James Clavell
Jackie Collins
Stephen Coonts
Patricia Cornwell
Robertson Davies
Jeffery Eugenides
Janet Evanovich
Timothy Findley
Robert Fulghum
Diana Gabaldon
Elizabeth George
Stephen J. Gould
Sue Grafton
Andrew Greeley
Kate Grenville
John Grisham
Frank Herbert
S.E. Hinton
John Jakes
Erica Jong
Wayne Johnston
Robert Jordan
Laurie King
Stephen King
Naomi Klein
Sophie Kinsella
Dean Koontz
Judith Krantz
Louis L'Amour
Margaret Laurence
Ursula LeGuin
C.S. Lewis
Robert Ludlum
George R.R. Martin
Rohinton Mistry
Ann Marie McDonald
James Michener
Christopher Moore
Michael Moore
Alice Munro
M. Scott Peck
Kate Pullinger
Daniel Quinn
Anne Rice
Mordecai Richler
Robert J. Sawyer
Carol Shields
Sidney Sheldon
Danielle Steel
Amy Tan
Miriam Toews
Alvin Toffler
J.R.R. Tolkien
Penny Vincenzi
Alice Walker
Joseph Wambaugh 
Richard Flanagan
Paul Zindel
