name	author
Agatha Christie 	1
Aimee Dorr 	0
Alex Lumsden 	0
Alice Munro 	1
Alvin Toffler 	1
Amy Tan 	1
Andrew Greeley 	1
Anne Rice 	1
Arthur C. Clarke 	1
Barbara Cartland 	1
Brian Bigelow 	0
C.S. Lewis 	1
Caleb Lim 	0
Carl Corter 	0
Carla Grinton 	0
Carol Berg 	1
Carol Shields 	1
Carter Anvari 	0
Charles Condie 	0
Christopher Barr 	0
Christopher Moore 	1
Dale Blyth 	0
Dan Brown 	1
Daniel Quinn 	1
Danielle Steel 	1
David Baldacci 	1
David Perry 	0
David Singer 	0
Dean Koontz 	1
Denise Daniels 	0
Devon Chang 	0
Diana Gabaldon 	1
Diane Cuneo 	0
Edward Cornell 	0
Elizabeth George 	1
Elliot Blass 	0
Eric Amsel 	0
Erica Jong 	1
Frances Fincham 	0
Frank Gresham 	0
Frank Herbert 	1
Frank Kiel 	0
Frank Manis 	0
Gary Beauchamp 	0
George R.R. Martin 	1
Geraldine Dawson 	0
Harrison Boldt 	0
Hilda Borko 	0
Hugh Lytton 	0
Isaac Asimov 	1
Jackie Collins 	1
James Clavell 	1
James Michener 	1
James Morgan 	0
Janet Evanovich 	1
Janice Taught 	0
Jean M. Auel 	1
Jeffery Eugenides 	1
Jennifer Butterworth 	0
Jennifer Marshal 	0
John Condry 	0
John Grisham 	1
John Jakes 	1
Judith Krantz 	1
Judy Blume 	1
Julia Connerty 	0
K. Warner Schaie 	0
Kate Grenville 	1
Kate Pullinger 	1
Katherine Carpenter 	0
Kirby Kavanagh 	0
Lauren Benjamin 	0
Laurie King 	1
Lena Johns 	0
Lilly Jack 	0
Louis L'Amour 	1
Lynn Liben 	0
M. Scott Peck 	1
Maeve Binchy 	1
Margaret Atwood 	1
Margaret Laurence 	1
Margarita Azmitia 	0
Mark Elder 	0
Mark Strauss 	0
Martin Ford 	0
Michael Moore 	1
Mimi Hall 	0
Miriam Sexton 	0
Miriam Toews 	1
Mordecai Richler 	1
Morton Mendelson 	0
Naomi Choy 	0
Naomi Klein 	1
Noam Chomsky 	1
Oscar Barbary 	0
Patricia Cornwell 	1
Peter Carey 	1
Peter Rigg 	0
Pierre Berton 	1
Pricilla Levy 	0
Reed Larson 	0
Reuben Baron 	0
Richard Passman 	0
Robert Emery 	0
Robert Fulghum 	1
Robert Inness 	0
Robert J. Sawyer 	1
Robert Jordan 	1
Robert Ludlum 	1
Robert Siegler 	0
Robertson Davies 	1
Rohinton Mistry 	1
Russell Banks 	1
Ryan Gilbertson 	0
Ryan Morris 	0
S.E. Hinton 	1
Samuel Paige 	0
Scott Paris 	0
Sheryl Green 	0
Sidney Sheldon 	1
Sophia Martin 	0
Sophie Kinsella 	1
Stephen Coonts 	1
Stephen J. Gould 	1
Stephen King 	1
Stirling King 	0
Sue Grafton 	1
Susan Kormer 	0
Suzanne Clarkson 	0
Thomas Bever 	0
Timothy Findley 	1
Tom Clancy 	1
Tracy Tomes 	0
Ursula LeGuin 	1
V.C. Andrews 	1
W. Patrick Dickson 	0
Wayne Johnston 	1
Wayson Choy 	1
