"trial","outOfCentralArea"
1,1
2,1
3,0.974266598044261
4,1
5,0.9405074365704292
6,1
7,0.9826642335766425
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,0.97305171158048
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0.9615763546798031
28,1
29,1
30,0.9723451327433625
31,0.9863445378151259
32,0.9789288849868302
33,0.9699481865284972
34,0.9785884218873908
35,1
36,0.9893004115226339
37,0.9337401918047076
38,1
39,1
40,0.9668874172185423
41,0.9562899786780381
42,0.9415322580645148
43,1
44,0.8682399213372686
45,1
46,0.9829443447037699
47,1
48,0.9879518072289157
49,0.9429097605893194
50,0.967227635075287
51,0.9559748427672953
52,0.9397042093287828
53,0.8729411764705882
54,0.5772532188841182
55,0.9434850863422296
56,0.9570602807597026
57,1
58,0.9145299145299151
59,0.619047619047619
60,0.9509803921568626
61,0.9229406554472998
62,0.8728897715988095
63,0.9644619940769994
64,0.9685902118334554
65,0.9176262178919395
66,1
67,0.94777397260274
68,0.08280254777070224
69,0.9351285189718477
70,0.9222440944881871
71,0.9273743016759785
72,0.9770916334661356
73,0.962680237489397
74,0.8037166085946572
75,0.8854041013269011
76,0.9005847953216374
77,0.9412861136999057
78,0.8505957836846907
79,0.4344637946837739
80,0.23643724696356408
81,0.5987179487179488
82,0.817891373801917
83,0.6490630323679758
84,0.3722222222222184
85,0.46822033898304855
86,0.7701244813278031
87,0
88,0.9694736842105257
89,0.12780269058296134
90,0.3992431409649942
91,0
92,0.02982456140350917
93,0.0906460945033759
94,0.16545012165450101
95,0.06672678088367932
96,0.5891553701772629
97,0.2713717693836971
98,1
99,0.35324015247776513
100,1
101,0.3543233082706805
102,0.011312217194570172
103,0.2427672955974854
104,0.9507042253521131
105,0.9405306495882887
106,0.4048964218455752
107,0
108,0.4654731457800502
109,0.13526570048309383
110,0.0626836434867771
111,0.0626349892008635
112,0
113,0
114,0.41591320072332355
115,0.08961303462321855
116,0.8362235067437387
117,0
118,0.07337723424271032
119,0
120,0.09275362318840677
121,0.08858447488584456
122,0
123,0.2097087378640786
124,0.07085916740478325
125,0.1012773722627752
126,0.07712765957446827
127,0.07684098185699118
128,0
129,0.0035056967572305122
130,0
131,0.015223596574690796
132,0
133,0.06368460955268948
134,1
135,1
136,1
137,1
138,1
139,0.9669421487603302
140,1
141,1
142,0.9352262644188115
143,0.9538606403013192
144,1
145,1
146,0.9735494880546073
147,1
148,0.9776876267748476
149,1
150,1
151,0.826605504587158
152,0.37640449438201723
153,0.9473189087488234
154,0.9870129870129871
155,0.9708083832335334
156,1
157,0.9133398247322286
158,1
159,1
160,0.9583727530747391
161,1
162,0.9830028328611897
163,0.9967663702506064
164,0.9236276849641996
165,0
166,0.9788732394366196
167,0.05349344978165893
168,0.050458715596330944
169,0.04961089494163457
170,0.29211618257261496
171,0.4100185528756937
172,0
173,0
174,0.032258064516129434
175,0.0524978831498721
176,0.0960929250264
177,0
178,0
179,0.07656395891689925
180,0
181,0.0892116182572611
182,0.07101568951279998
183,0.122292993630572
184,0.04888888888888846
185,0.16878710771840674
186,0.04819277108433697
187,0
188,0.20203045685279164
189,0.014314928425357643
190,0.06082474226804168
191,0.057245080500894226
192,0.8791304347826078
193,0.998139534883721
194,1
195,1
196,0.9809782608695652
197,0.8680154142581861
198,0.9421641791044765
199,0.9991482112436116
200,1
201,1
202,1
203,0.9559877175025586
204,1
205,1
206,1
207,1
208,0.9777777777777776
209,1
210,0.9270935960591127
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0.9710424710424714
219,0.9752293577981646
220,0.9839797639123102
221,0.989010989010989
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,0.8696558915536994
230,0.8874709976798154
231,0.9213740458015257
232,1
233,0.9093997734994356
234,0.9820466786355473
235,1
236,1
237,0.9958437240232751
238,0.9660460021905805
239,1
240,0.9748837209302322
241,0.9814097598760648
242,0.1521226415094326
243,0.10430839002267676
244,1
245,0.7216981132075512
246,0.8045891931902323
247,0.9920760697305863
248,0.9776046738072053
249,1
250,0.8692468619246886
251,0.9281496062992117
252,0.9113924050632908
253,1
254,1
255,0.9736394557823133
256,0.9194029850746274
257,1
258,0.9544259421560023
259,0.8586437440305654
260,1
261,0.8698501872659204
262,0.8928928928928935
263,0.9199623352165729
264,0.8414507772020743
265,1
266,0.042872454448017225
267,0.7940935192780947
268,1
269,1
270,1
271,1
272,0.9611570247933887
273,0.9763313609467457
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0.9956063268892793
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0.983414634146341
290,1
291,1
292,1
293,0.9307692307692318
294,0.9888412017167381
295,1
296,0.8320355951056698
297,1
298,0.9805749805749804
299,1
300,1
301,1
